objectid,title,creator,date,description,breed,age,rights,image,format,filesize,filedate
R-001,Curious Cat,"Backes, Olivia",2025-08-16,Louie is standing on the door frame to the old shed he was found in.,Tabby,4 Months,"CC Olivia Backes, 2025",R-001.jpg,JPEG,4 MB,2026-04-12
R-002,Carrier Prince(ss),"Backes, Olivia",2025-08-26,"On our drive back from the farm, Louie is resting in his carrier. We are on our way to his first veterinary appointment.",Tabby,4 Months,"CC Olivia Backes, 2025",R-002.jpg,JPEG,9.7 MB,2026-04-12
R-003,Sleepy Kitty,"Backes, Olivia",2025-08-26,"After Louie's first vet appointment, he is taking his first nap in my bed. He has earmites from living in the barn. ",Tabby,4 Months,"CC Olivia Backes, 2025",R-003.jgp,JPEG,5.6 MB,2026-04-12
R-004,Eyes Wide Open,"Backes, Olivia",2025-08-26,"Louie is playing on the floor with his new toys. His left eye is a little bit cloudy in this photo, the first sign of some things wrong with his health. His earmites are being treated with eardrops.",Tabby,4 Months,"CC Olivia Backes, 2025",R-004.jpg,JPEG,6.8 MB,2026-04-12
R-005,Upside Down Fun!,"Backes, Olivia",2025-08-26,Louie's energy seems endless this first day. He plays well into the evening.,Tabby,4 Months,"CC Olivia Backes, 2025",R-005.jpg,JPEG,463 KB,2026-04-12
R-006,Friends?,"Backes, Olivia",2025-09-08,"Louie and my roommate's cat, Kit, were separated for a few days when he first came home. This was the first time the two sat next to each other without hissing. They are in my living room. His eye is still cloudy and now it is reflecting light unlike the other eye. ","Tabby, American Shorthair",5 Months,"CC Olivia Backes, 2025",R-006.jpg,JPEG,5.6 MB,2026-04-12
R-007,On The Counter,"Backes, Olivia",2025-09-18,"While sitting on the counter, I noticed his right inner eyelid was raising higher than the other. ",Tabby,5 Months,"CC Olivia Backes, 2025",R-007.jpg,JPEG,4.7 MB,2026-04-12
R-008,Ultra Relaxed,"Backes, Olivia",2025-09-22,"In his relaxed state, both of Louie's inner eyelids are a bit raised, but one was higher than the other. ",Tabby,5 Months,"CC Olivia Backes, 2025",R-008.jpg,JPEG,6.1 MB,2026-04-12
R-009,Uh Oh...,"Backes, Olivia",2025-09-22,"Later that day, his right inner eyelid became red and we went to the vet as soon as we could get in. He was treated with eyedrops and an eye cream for Hans Syndrome. ",Tabby,5 Months,"CC Olivia Backes, 2025",R-009.jpg,JPEG,4.3 MB,2026-04-12
R-010,That's His Mousey,"Backes, Olivia",2025-10-13,"His inner eyelid went down a bit and his energy went back up. This is Louie's favorite toy, Mousey, which he is playing with on my bed.",Tabby,6 Months,"CC Olivia Backes, 2025",R-010.jpg,JPEG,6 MB,2026-04-12
R-011,Blue Collar Cat,"Backes, Olivia",2025-10-20,Louie has his blue inflatable collar on after he was neutered.,Tabby,6 Months,"CC Olivia Backes, 2025",R-011.jpg,JPEG,4.9 MB,2026-04-12
R-012,Are You Looking At Me?,"Backes, Olivia",2025-11-26,"After Louie healed from his procedure, his eyelid also continued to heal. Here, he is in my living room. ",Tabby,7 Months,"CC Olivia Backes, 2025",R-012.jpg,JPEG,6.3 MB,2026-04-12
R-013,Friends!,"Backes, Olivia",2025-12-01,"Louie and Kit have become close. Through all of his treatments, sicknesses, and medication, Kit has been by Louie's side. The two cats are cuddling on our living room couch and in my lap. ","Tabby, American Shorthair",7 Months,"CC Olivia Backes, 2025",R-013.jpg,JPEG,3.9 MB,2026-04-12
R-014,Heart (Crossed) Eyes,"Backes, Olivia",2026-02-16,Louie lays on my bed while he continues to struggle with his inner eyelids being raised. He has started a new eyedrop to help.,Tabby,9 Months,"CC Olivia Backes, 2026",R-014.jpg,JPEG,6.3 MB,2026-04-12
R-015,Loving Life,"Backes, Olivia",2026-03-26,"This most recent photo of Louie shows that he still has some raised inner eyelid on his right eye. While he lays on my purple chair, he looks out into the distance and remininces on his good life. ",Tabby,10 Months,"CC Olivia Backes, 2026",R-015.jpg,JPEG,5 MB,2026-04-12
